Real,Predicho
18.9,18.904607050206728
15.72,18.44253039688868
12.84,18.24911308254268
13.28,14.018206858122186
14.52,14.054717443923744
16.88,14.893837878630633
20.12,18.246529486162057
15.5,20.256216292997333
18.16,17.9700259203982
18.9,18.7865654542268
18.35,18.70072299099188
23.98,29.050719820001085
22.71,25.3249616742346
23.06,22.967531624183565
26.38,22.99846797101186
28.81,25.822269587687302
29.63,28.32448799988865
28.05,29.0186936776385
36.9,26.98928297423937
35.5,31.87464054054525
36.81,32.79669015632744
35.88,35.214673166195674
21.72,20.34057281438846
19.96,21.44721639924991
19.55,20.100962667331217
18.36,19.78692281791124
18.08,19.020143923931524
21.87,19.134895135906945
20.1,21.743912127533086
18.11,20.62733521436898
19.18,19.146306449358473
18.19,18.887102441221096
18.26,18.403747480372417
